,author,date,like_facebook,summary,tags,title
0,Himani Chandna," 25 April, 2020 2:50 pm IST",9879,"The Ayush Ministry missive comes after PM Modi, on 14 April, recommended the use of alternative medicine to strengthen immunity against Covid-19.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,AYUSH ministry,Modi,About,Contact,Careers,Terms of Use,Privacy Policy","Modi govt wants states to start producing herbal remedy for Covid-19 immunity, sends recipe"
1,PTI," 25 April, 2020 11:56 am IST",11020,"The shops allowed to open will have to function with a 50% strength of workers, who will have to wear masks and follow social distancing.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,kirana shops,lockdown,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy","New MHA order allows shops to open, but malls, liquor outlets will have to wait"
2,PTI," 25 April, 2020 5:00 pm IST",5102,"The number of coronavirus cases in Karnataka has risen to 489, of whom 153 have been discharged. ","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,Karnataka,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy",Journalist who visited Bengaluru hotspots among 15 new Covid-19 cases in Karnataka
3,Simrin Sirur," 25 April, 2020 12:03 pm IST",7980,"Ahmedabad is one of India’s worst-affected cities with over 1,200 Covid-19 cases. Residents in its poorer areas say the government has abandoned them.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Health,India,Ahmedabad,Coronavirus,COVID-19,Gujarat,About,Contact,Careers,Terms of Use,Privacy Policy","‘Low testing, no healthcare’ — residents of Ahmedabad’s hotspots cry for govt help"
4,Taruka Srivastav," 25 April, 2020 1:26 pm IST",19537,"During the Covid-19 crisis, people in Rajasthan’s Bhilwara went into health screening while Kerala launched an app to check the spread of fake information.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Bhilwara,Coronavirus,Odisha,WEF,About,Contact,Careers,Terms of Use,Privacy Policy",Rajasthan and Kerala can teach the world how to fight coronavirus
5,Aneesha Bedi," 25 April, 2020 2:13 pm IST",11353,Parents who have approached the lockdown helpline run by Delhi Commission for Protection of Child Rights have largely raised concerns about rations.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Arvind Kejriwal,Coronavirus,COVID-19,Delhi,About,Contact,Careers,Terms of Use,Privacy Policy","Parents anxious over food, but boredom biggest peeve for kids, Delhi lockdown helpline finds"
6,PTI," 25 April, 2020 4:49 pm IST",1554,"Hundreds of people, including mainstream leaders, were detained and booked under PSA after the central govt revoked Article 370 last August.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Article 370,Jammu and Kashmir,PSA,PTI wire,Srinagar,About,Contact,Careers,Terms of Use,Privacy Policy",J&K govt revokes PSA against 28 people lodged in jails
7,"Matt Kasson,Brian Lovett,Rita Rio"," 25 April, 2020 4:36 pm IST",1351,"Hundreds of scientists are fighting against pandemic to protect everything from crickets, to tissue cultures, mice, powdery mildews, zebrafish and even rust fungi.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,coronavirus world updates,The Conversation,United States,About,Contact,Careers,Terms of Use,Privacy Policy",US scientists guarding precious living collections during Covid lockdown
8,Swagata Yadavar," 25 April, 2020 10:42 am IST",11532,"Dr Anoop Kumar, chief of critical care medicine at Baby Memorial Hospital, Kozhikode, was instrumental in detecting the first Nipah case in 2018.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,COVID-19,Kerala,Nationwide lockdown,About,Contact,Careers,Terms of Use,Privacy Policy","Kerala Covid curve has flattened, despite recent spike. Doctor who handled Nipah explains how"
9,Regina Mihindukulasuriya," 24 April, 2020 4:40 pm IST",17827,"The handles are posing as Arab royalty and criticising ‘Islamophobia’ in India, but Afghan security official and others allege Pakistani links.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,World,Arab,India-Pakistan,Twitter,About,Contact,Careers,Terms of Use,Privacy Policy",Many Arab handles slamming India are part of ‘Twitter war’ from Pakistan
