Brand_name,Generic_name,que,side_effects
"Abilify, Abilify Discmelt"," aripiprazole (AR i PIP ra zole), ","[['What is Abilify?'], ['Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.']]","[['weight gain;'], ['blurred vision;'], ['nausea, vomiting, changes in appetite, constipation;'], ['drooling;']]"
"Adderall, Adderall XR, Mydayis"," , (am FET a meen and DEX troe am FET a meen), ","[['What is Adderall?'], ['Adderall contains a combination of ', ' and ', '. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.']]","[[' - chest pain, trouble breathing, feeling like you might pass out;'], [' - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia;'], [' - numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes;'], ['a seizure (convulsions);']]"
"NAC, N-A-C Sustain"," acetylcysteine (oral) (a SEET il SIS teen), ","[['What is acetylcysteine?'], [' is used to help prevent or lessen liver damage caused by taking large quantities of ', ' (', ').']]","[[], [], [], []]"
", Anacin AF, Apra, Bromo Seltzer, Children's Tylenol, Elixsure Fever/Pain, Mapap, Medi-Tabs, Q-Pap, Silapap Childrens, Tactinal, Tempra Quicklets, Tycolene, ,, Vitapap"," acetaminophen (oral) (a SEET a MIN oh fen), ","[['What is acetaminophen?'], ['Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone.']]","[['nausea, upper stomach pain, itching, loss of appetite;'], ['excessive sweating and severe tiredness;'], ['dark urine, clay-colored stools; or'], ['jaundice (yellowing of the skin or eyes).']]"
"Sitavig, Zovirax"," acyclovir (oral) (a SYE klo veer), ","[['What is acyclovir?'], [' is an antiviral drug. It slows the growth and spread of the herpes virus in the body. It will not cure herpes, but it can lessen the symptoms of the infection.']]","[[], [], [], []]"
"Advair Diskus, Advair HFA, AirDuo RespiClick"," , (floo TIK a sone, sal ME te rol), ","[['What is  Advair Diskus?'], [' inhalation is a steroid and bronchodilator combination medicine that is used to prevent ', ' attacks. It is also used to prevent flare-ups or worsening of ', ' (', ') associated with ', ' and/or ', '.']]","[['headache, muscle pain, bone ', ' pain;'], ['nausea, vomiting;'], ['thrush, throat irritation;'], ['ongoing cough, hoarseness or deepened voice;']]"
"Advair Diskus, Advair HFA, AirDuo RespiClick"," , (floo TIK a sone, sal ME te rol), ","[['What is Advair?'], ['Advair contains a combination of fluticasone and salmeterol. ', ' is a steroid that prevents the release of substances in the body that cause inflammation. ', ' is a bronchodilator. It works by relaxing muscles in the airways to improve breathing.']]","[['headache, muscle pain, bone ', ' pain;'], ['nausea, vomiting;'], ['thrush, throat irritation;'], ['ongoing cough, hoarseness or deepened voice;']]"
Actos," , (oral) (PYE o GLIT a zone), ","[['What is Actos?'], ['Actos (', ') is an oral ', ' that helps control blood sugar levels.']]","[['headache;'], ['muscle pain; or'], [' such as stuffy nose, sinus pain, sneezing, ', '.'], []]"
"Adderall, Adderall XR, Mydayis"," , (am FET a meen and DEX troe am FET a meen), ","[['What is  Adderall XR?'], [' XR are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.']]","[['signs of heart problems--chest pain, trouble breathing, feeling like you might pass out;'], ['signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia;'], ['signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes;'], ['a seizure (convulsions);']]"
"Aldactone, CaroSpir"," , (spir ON oh LAK tone), ","[['What is Aldactone?'], ['Aldactone (', ') is a potassium-sparing diuretic (water pill) that prevents your body from absorbing too much salt and keeps your potassium levels from getting too low.']]","[['breast swelling or tenderness.'], [], [], []]"
"ProAir HFA, ProAir RespiClick, Proventil HFA, Ventolin HFA, AccuNeb"," albuterol inhalation (al BYOO ter all), ","[['What is albuterol inhalation?'], ['Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs.']]","[['any other inhaled medicines or bronchodilators;'], ['digoxin;'], ['a diuretic or ""water pill"";'], ['an antidepressant - amitriptyline, desipramine, imipramine, doxepin, nortriptyline, and others;']]"
Advil," ibuprofen (EYE bue PROE fen), ","[['What is Advil?'], ['Advil (ibuprofen) is a nonsteroidal anti-inflammatory drug (NSAID). Ibuprofen works by reducing hormones that cause inflammation and pain in the body.']]","[['cyclosporine;'], ['pemetrexed;'], ['lithium;'], ['methotrexate;']]"
"Xanax, Xanax XR, Niravam"," alprazolam (al PRAY zoe lam), ","[['What is alprazolam?'], [' is a ', ' (ben-zoe-dye-AZE-eh-peen). It affects chemicals in the brain that may be unbalanced in people with anxiety.']]","[['drowsiness; or'], ['feeling light-headed.'], [], []]"
"Binosto, Fosamax"," alendronate (a LEN dro nate), ","[['What is alendronate?'], ['Alendronate is used to treat ', ' caused by ', ', steroid use, or gonadal failure.  alendronate is for use when you have a high risk of ', ' due to osteoporosis.']]","[['chest pain, new or worsening ', ';'], ['difficulty or pain when swallowing;'], ['pain or burning under the ribs or in the back;'], ['severe heartburn, burning pain in your upper stomach, or ', ';']]"
